	L_Shoulder_Angle	L_Shoulder_Angle	L_Shoulder_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Wrist_Angle	L_Wrist_Angle	L_Wrist_Angle	R_Shoulder Angle	R_Shoulder Angle	R_Shoulder Angle	R_Elbow Angle	R_Elbow Angle	R_Elbow Angle	R_Wrist Angle	R_Wrist Angle	R_Wrist Angle	Thorax_Angle	Thorax_Angle	Thorax_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
10	-2.03929	13.99963	29.58650	6.15729	-20.03856	-165.67000	8.83500	0.80817	89.08473	-5.78801	-15.03247	-83.24112	-5.49273	15.55798	-142.94626	-3.06266	-5.71664	-89.53445	-7.73864	-0.57646	4.74667
11	-2.04397	14.00129	29.59495	6.16182	-20.03332	-165.64478	8.84740	0.80485	89.08463	-5.79082	-15.02708	-83.22678	-5.48946	15.55153	-142.95708	-3.05035	-5.71805	-89.53515	-7.72651	-0.58104	4.73596
12	-2.04916	14.00319	29.60386	6.16581	-20.02810	-165.62082	8.85813	0.80205	89.08452	-5.79352	-15.02154	-83.21190	-5.48632	15.54439	-142.96700	-3.03972	-5.71942	-89.53584	-7.71405	-0.58561	4.72422
13	-2.05492	14.00537	29.61340	6.16932	-20.02290	-165.59796	8.86729	0.79969	89.08443	-5.79607	-15.01583	-83.19643	-5.48329	15.53664	-142.97610	-3.03056	-5.72079	-89.53654	-7.70130	-0.59022	4.71140
14	-2.06125	14.00783	29.62377	6.17237	-20.01771	-165.57610	8.87498	0.79767	89.08435	-5.79843	-15.00996	-83.18037	-5.48037	15.52836	-142.98453	-3.02267	-5.72220	-89.53723	-7.68830	-0.59496	4.69750
15	-2.06818	14.01059	29.63518	6.17500	-20.01256	-165.55519	8.88129	0.79589	89.08432	-5.80056	-15.00392	-83.16370	-5.47753	15.51961	-142.99237	-3.01584	-5.72368	-89.53793	-7.67507	-0.59987	4.68257
16	-2.07571	14.01366	29.64782	6.17721	-20.00745	-165.53522	8.88629	0.79425	89.08434	-5.80244	-14.99771	-83.14639	-5.47477	15.51048	-142.99976	-3.00987	-5.72523	-89.53863	-7.66156	-0.60498	4.66665
17	-2.08386	14.01705	29.66189	6.17901	-20.00240	-165.51624	8.89004	0.79267	89.08440	-5.80406	-14.99134	-83.12847	-5.47204	15.50106	-143.00679	-3.00456	-5.72688	-89.53932	-7.64774	-0.61032	4.64985
18	-2.09260	14.02074	29.67751	6.18040	-19.99742	-165.49834	8.89260	0.79111	89.08454	-5.80542	-14.98483	-83.10995	-5.46933	15.49143	-143.01364	-2.99973	-5.72862	-89.54001	-7.63353	-0.61588	4.63231
19	-2.10192	14.02472	29.69476	6.18142	-19.99254	-165.48154	8.89401	0.78952	89.08475	-5.80653	-14.97819	-83.09095	-5.46662	15.48168	-143.02043	-2.99521	-5.73048	-89.54068	-7.61890	-0.62163	4.61420
