	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d	D:\LaRoche Research\CoRE NSF Motion Primitives\Shoulder Exercise Models\Subject 18\Subject 18 Order 2L0001.c3d
	L_Shoulder_Angle	L_Shoulder_Angle	L_Shoulder_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Wrist_Angle	L_Wrist_Angle	L_Wrist_Angle	R_Shoulder Angle	R_Shoulder Angle	R_Shoulder Angle	R_Elbow Angle	R_Elbow Angle	R_Elbow Angle	R_Wrist Angle	R_Wrist Angle	R_Wrist Angle	Thorax_Angle	Thorax_Angle	Thorax_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-4.55380	14.87649	37.07458	4.13730	-19.00494	-168.06262	9.31378	2.49067	88.75494	-7.98016	-13.21154	-83.41158	-6.06200	18.74331	-143.48242	-2.24811	-1.15984	-89.63798	-4.97627	-0.74902	0.32498
2	-4.55331	14.88599	37.08921	4.13542	-19.01084	-168.02919	9.33575	2.48789	88.75404	-7.97379	-13.21728	-83.39742	-6.06050	18.73726	-143.50319	-2.22694	-1.15958	-89.63956	-4.97161	-0.75925	0.32399
3	-4.55217	14.89520	37.10292	4.13384	-19.01687	-167.99557	9.35701	2.48535	88.75314	-7.96703	-13.22400	-83.38337	-6.05902	18.73073	-143.52419	-2.20564	-1.15924	-89.64117	-4.96656	-0.76913	0.32353
4	-4.55025	14.90396	37.11527	4.13253	-19.02310	-167.96227	9.37698	2.48306	88.75227	-7.95991	-13.23184	-83.36977	-6.05763	18.72372	-143.54498	-2.18455	-1.15886	-89.64276	-4.96111	-0.77839	0.32378
5	-4.54744	14.91211	37.12594	4.13153	-19.02952	-167.92967	9.39519	2.48108	88.75146	-7.95248	-13.24088	-83.35686	-6.05631	18.71625	-143.56534	-2.16401	-1.15846	-89.64432	-4.95526	-0.78684	0.32486
6	-4.54366	14.91952	37.13474	4.13093	-19.03602	-167.89818	9.41131	2.47948	88.75072	-7.94475	-13.25112	-83.34471	-6.05499	18.70840	-143.58521	-2.14429	-1.15807	-89.64582	-4.94902	-0.79438	0.32679
7	-4.53890	14.92610	37.14158	4.13087	-19.04247	-167.86806	9.42520	2.47832	88.75005	-7.93673	-13.26243	-83.33319	-6.05351	18.70031	-143.60466	-2.12562	-1.15769	-89.64726	-4.94243	-0.80099	0.32947
